Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Mozambique,MOZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.87003,9.87895,..,9.97402,..,..,..
Myanmar,MMR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,10.67024,..,..
Namibia,NAM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Nauru,NRU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Nepal,NPL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.59261,12.65251,12.6192,12.75613,..,13.15132,..
Netherlands,NLD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,18.0801,18.04483,18.48513,18.55993,..,..
Netherlands Antilles,ANT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
New Caledonia,NCL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
New Zealand,NZL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,18.80342,18.86965,18.1245,18.83857,18.87855,..,..
Nicaragua,NIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Niger,NER,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,5.91809,6.21518,6.40677,..,..,..
Nigeria,NGA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
North America,NAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.11944,16.16435,16.25008,16.29613,16.2776,16.346,..
North Macedonia,MKD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.96149,13.32862,..,13.5852,13.50733,..,..
Northern Mariana Islands,MNP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Norway,NOR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.68294,17.78389,17.96913,18.06615,18.12005,..,..
